Voltage [V],Current density [mA/cm2]
0.00429247,42.54035307
0.015344265,42.54180999
0.02639606,42.54326692
0.037447854,42.54472384
0.048499649,42.54618076
0.059551444,42.54763768
0.070603238,42.5490946
0.081655033,42.55055153
0.092706827,42.55200845
0.103758622,42.55346537
0.114810417,42.55492229
0.125862211,42.55637922
0.136914006,42.55783614
0.147965801,42.55929306
0.159017595,42.56074998
0.17006939,42.5622069
0.181121185,42.56366383
0.192172979,42.56512075
0.203224774,42.56657767
0.214276569,42.56803459
0.225328363,42.56949151
0.236380158,42.51965515
0.247431952,42.38432996
0.258483747,42.4499035
0.269535542,42.56677032
0.280587336,42.39297517
0.291639131,42.39015765
0.302690926,42.39161457
0.31374272,42.39307149
0.324794515,42.39452842
0.33584631,42.29339876
0.346898104,42.25638571
0.357949899,42.14670717
0.369001693,42.04557752
0.380053488,41.91452677
0.391105283,41.79202491
0.402157077,41.63105308
0.413208872,41.39314132
0.424260667,41.15522956
0.435312461,40.84037786
0.447117787,40.48875844
0.457416051,40.0781668
0.468467845,39.5538675
0.47951964,38.79447396
0.490571434,38.03508041
0.501623229,37.20729582
0.512172669,36.32088516
0.521215047,35.27943421
0.52975507,34.22981935
0.538797447,33.13912921
0.546332762,32.11093221
0.552361014,31.08514869
0.557886911,30.14393288
0.562910454,29.0913729
0.568436351,27.88214965
0.573962249,26.74188737
0.578985792,25.34138791
0.58350698,24.25584852
0.58702346,23.19838798
0.589894056,22.02329518
0.593855479,20.87655748
0.597874313,19.54175196
0.601089381,18.4199926
0.604103507,17.02549742
0.607117632,15.57614692
0.611136467,14.33851369
0.613648238,13.07717236
0.616662364,11.30652639
0.620178844,9.629984346
0.62319297,8.18847032
0.626207096,6.652918597
0.629422163,4.970067636
0.631230639,3.385770831
0.632737702,2.210498279
0.637258891,0.871057097
