Wavelenght [nm],EQE [%]
200,0
300,0
301.0236107,64.12346693
317.7215274,68.53135405
337.5842901,69.75554894
356.7956163,70.0082383
364.4758101,69.73165858
377.3645755,76.97275566
397.661415,84.13637144
417.8239275,87.56764656
437.6991106,89.87347604
457.5640837,91.29016523
477.4275831,92.57852488
497.1328811,92.95732666
517.1390041,93.79861775
536.989978,93.99617641
558.1210894,94.15680485
577.9713265,94.29019876
597.8231425,94.56108858
617.6698008,94.38282505
637.5197221,94.48871977
658.0060809,94.25990875
677.8583705,94.57204735
697.6985029,93.82546735
717.5441087,93.55553987
738.0260992,92.94632347
757.8664421,92.21807625
778.3519062,91.91135087
798.8309495,91.04547541
818.0305921,90.28069494
838.510267,89.46981785
858.3489364,88.59582495
878.1812692,87.17001508
898.6410129,84.62341565
918.4586579,81.91850085
938.2631081,78.06451298
958.0482963,72.53307485
978.4538701,65.26905577
998.2171648,57.83100751
1018.626979,50.93626319
1038.39698,44.08224523
1058.819921,38.3306813
1078.606267,32.90007352
1098.922656,26.44765329
1118.160539,20.43473885
1125.840838,20.16732551
1139.212487,13.7013217
1158.340049,6.659394022
1178.770864,1.593476429
1190,0
1200,0
1210,0
1220,0
1230,0
1240,0
1250,0
1260,0
1270,0
1280,0
1290,0
1300,0
1310,0
1320,0
1330,0
1340,0
1350,0
1360,0
1370,0
1380,0
1390,0
1400,0
1410,0
1420,0
1430,0
1440,0
1450,0
1460,0
1470,0
1480,0
1490,0
1500,0
1510,0
1520,0
1530,0
1540,0
1550,0
1560,0
1570,0
1580,0
1590,0
1600,0
1610,0
1620,0
1630,0
1640,0
1650,0
1660,0
1670,0
1680,0
1690,0
1700,0
1710,0
1720,0
1730,0
1740,0
1750,0
1760,0
1770,0
1780,0
1790,0
1800,0
1810,0
1820,0
1830,0
1840,0
1850,0
1860,0
1870,0
1880,0
1890,0
1900,0
1910,0
1920,0
1930,0
1940,0
1950,0
1960,0
1970,0
1980,0
1990,0
2000,0
4000,0
