wavelength nm,penetration depth mm
200,0
390,0
400,0.338
411,0.338
418,0.359
424,0.399
431,0.447
436,0.487
440,0.528
445,0.569
449,0.616
456,0.663
460,0.704
467,0.745
476,0.792
483,0.832
490,0.866
499,0.9
505,0.927
512,0.948
523,0.934
535,0.92
541,0.927
548,0.968
555,1.002
562,1.022
571,1.049
577,1.069
580,1.124
584,1.171
586,1.225
589,1.286
591,1.347
595,1.408
600,1.482
609,1.543
615,1.591
622,1.638
629,1.685
633,1.739
636,1.787
642,1.8
649,1.78
654,1.76
660,1.8
667,1.841
676,1.895
685,1.942
694,1.997
703,2.037
719,2.085
737,2.125
753,2.166
766,2.206
777,2.247
791,2.281
800,2.315
802,2.328
813,2.342
822,2.328
834,2.349
845,2.382
851,2.416
863,2.409
869,2.437
874,2.464
883,2.497
892,2.511
908,2.525
912,2.545
919,2.531
928,2.525
932,2.545
935,2.558
941,2.538
946,2.504
953,2.484
957,2.47
964,2.464
973,2.504
980,2.545
989,2.592
995,2.64
1000,2.701
1007,2.755
1009,2.816
1016,2.856
1022,2.91
1034,3.066
1038,3.134
1043,3.201
1049,3.262
1054,3.33
1061,3.371
1065,3.431
1070,3.486
1076,3.533
1085,3.547
1094,3.526
1103,3.499
1110,3.465
1112,3.411
1117,3.35
1119,3.303
1121,3.228
1123,3.154
1125,3.08
1126,3.019
1128,2.917
1130,2.816
1132,2.701
1135,2.592
1137,2.497
1139,2.409
1144,2.315
1150,2.206
1157,2.105
1166,2.051
1175,2.01
1184,1.963
1193,1.915
1204,1.895
1211,1.956
1213,2.003
1218,2.064
1220,2.125
1225,2.179
1227,2.234
1231,2.288
1236,2.335
1243,2.382
1247,2.416
1256,2.45
1263,2.47
1274,2.47
1288,2.443
1294,2.382
1301,2.315
1308,2.24
1314,2.159
1319,2.064
1323,1.983
1330,1.915
1335,1.848
1341,1.773
1348,1.706
1355,1.631
1359,1.591
1364,1.543
1368,1.475
1373,1.401
1377,1.32
1384,1.239
1393,1.171
1404,1.11
1413,1.09
1425,1.083
1431,1.103
1438,1.117
1452,1.103
1461,1.117
1466,1.14
1470,1.164
1476,1.171
1483,1.144
1494,1.13
1499,1.11
1506,1.137
1510,1.164
1515,1.184
1526,1.178
1533,1.164
1539,1.198
1541,1.212
1550,1.212
1564,1.232
1571,1.259
1580,1.279
1586,1.313
1593,1.327
1598,1.333
1602,1.36
1604,1.374
1609,1.381
1613,1.36
1631,1.347
1640,1.354
1645,1.327
1652,1.293
1661,1.266
1672,1.272
1679,1.259
1685,1.225
1692,1.184
1698,1.049
1703,1.144
1712,1.164
1717,1.178
1726,1.191
1728,1.205
1739,1.191
1746,1.171
1751,1.191
1755,1.205
1764,1.205
1768,1.184
1777,1.178
1784,1.184
1791,1.205
1795,1.225
1800,1.239
1807,1.218
1813,1.205
1818,1.218
1825,1.239
1834,1.218
1847,1.212
1854,1.184
1865,1.144
1872,1.124
1879,1.144
1888,1.117
1899,1.09
1897,1.063
1903,1.042
1912,1.063
1919,1.069
1928,1.069
1937,1.09
1946,1.076
1957,1.063
1971,1.076
1973,1.103
1978,1.137
1979,1.157
1984,1.171
1991,1.157
1998,1.151
2000,1.178
2002,0
4000,0
