lambdaNM,implantdepthCM,SkinTransm
200,1.5,0
200,2,0
200,2.5,0
200,3,0
200,3.5,0
200,4,0
200,4.5,0
400,1.5,0.0007
400,2,3E-05
400,2.5,0
400,3,0
400,3.5,0
400,4,0
400,4.5,0
450,1.5,0.0041
450,2,0.0007
450,2.5,0.00016
450,3,4E-05
450,3.5,0.0001
450,4,0
450,4.5,0
500,1.5,0.016
500,2,0.0047
500,2.5,0.0012
500,3,0.0003
500,3.5,7E-05
500,4,1E-05
500,4.5,0
550,1.5,0.0307
550,2,0.0098
550,2.5,0.0024
550,3,0.0007
550,3.5,0.00018
550,4,2E-05
550,4.5,0
600,1.5,0.0678
600,2,0.0278
600,2.5,0.012
600,3,0.0046
600,3.5,0.0018
600,4,0.0008
600,4.5,0.0002
650,1.5,0.113
650,2,0.055
650,2.5,0.026
650,3,0.012
650,3.5,0.005
650,4,0.003
650,4.5,0.0015
700,1.5,0.161
700,2,0.089
700,2.5,0.047
700,3,0.024
700,3.5,0.012
700,4,0.007
700,4.5,0.004
750,1.5,0.21
750,2,0.126
750,2.5,0.072
750,3,0.041
750,3.5,0.023
750,4,0.013
750,4.5,0.007
800,1.5,0.266
800,2,0.168
800,2.5,0.103
800,3,0.062
800,3.5,0.039
800,4,0.0238
800,4.5,0.014
850,1.5,0.315
850,2,0.206
850,2.5,0.135
850,3,0.087
850,3.5,0.057
850,4,0.037
850,4.5,0.023
900,1.5,0.362
900,2,0.25
900,2.5,0.166
900,3,0.112
900,3.5,0.075
900,4,0.05
900,4.5,0.033
950,1.5,0.368
950,2,0.248
950,2.5,0.164
950,3,0.109
950,3.5,0.074
950,4,0.049
950,4.5,0.031
1000,1.5,0.4
1000,2,0.277
1000,2.5,0.191
1000,3,0.129
1000,3.5,0.088
1000,4,0.0586
1000,4.5,0.039
1050,1.5,0.434
1050,2,0.307
1050,2.5,0.212
1050,3,0.149
1050,3.5,0.102
1050,4,0.071
1050,4.5,0.049
1100,1.5,0.442
1100,2,0.311
1100,2.5,0.219
1100,3,0.153
1100,3.5,0.104
1100,4,0.072
1100,4.5,0.05
1150,1.5,0.443
1150,2,0.308
1150,2.5,0.212
1150,3,0.148
1150,3.5,0.102
1150,4,0.071
1150,4.5,0.047
1200,1.5,0.441
1200,2,0.304
1200,2.5,0.205
1200,3,0.14
1200,3.5,0.096
1200,4,0.066
1200,4.5,0.044
1201,1.5,0
1201,2,0
1201,2.5,0
1201,3,0
1201,3.5,0
1201,4,0
1201,4.5,0
5000,1.5,0
5000,2,0
5000,2.5,0
5000,3,0
5000,3.5,0
5000,4,0
5000,4.5,0
